CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
HD159222,1335880415564253312,  6.3771229,  6.6885324,  5.8954759,  0.7930565,NOT_AVAILABLE,      0,true, 40, 35,hd159222_stis_007.fits.csv,OK,  1,   1.01,   0.03,   0.03,   1.81,   1.93,   2.63,   1.22
HD160617,5957698605530828032,  8.5856571,  8.8414412,  8.1493654,  0.6920757,NOT_AVAILABLE,      0,true, 52, 48,hd160617_stis_005.fits.csv,ChP,  0,   1.01,   0.01,   0.02,   2.48,   2.57,   3.39,   1.77
HD163466,1435190745326633984,  6.8304276,  6.9163818,  6.6511374,  0.2652445,NOT_AVAILABLE,      0,true, 30, 28,hd163466_stis_005.fits.csv,OK,  0,   1.01,   0.04,   0.04,   1.89,   2.14,   2.93,   1.35
HD1654595,2152139190687051008,  6.8500319,  6.8960466,  6.7397447,  0.1563020,NOT_AVAILABLE,      0,true, 31, 31,hd165459_stisnic_006.fits.csv,OK,  0,   1.01,   0.04,   0.04,   2.17,   2.72,   3.75,   1.65
HD167060,6634011506225360640,  8.7859402,  9.0972719,  8.3053312,  0.7919407,NOT_AVAILABLE,      0,true, 43, 42,hd167060_stis_004.fits.csv,OK,  1,   0.99,   0.02,   0.02,   2.25,   2.24,   2.02,   2.39
HD172728,2160077939517532544,  5.7176337,  5.6931252,  5.7371311, -0.0440059,NOT_AVAILABLE,      0,true, 19, 20,hd172728_stis_002.fits.csv,OK,  0,   1.01,   0.04,   0.04,   1.85,   2.04,   2.43,   1.73
HD180609,2254144423451326080,  9.4164467,  9.4684935,  9.2979584,  0.1705351,NOT_AVAILABLE,      0,true, 67, 71,hd180609_stis_006.fits.csv,OK,  1,   1.00,   0.04,   0.04,   2.61,   2.78,   2.82,   2.74
HD185975,6342346358822630400,  7.9423928,  8.2779951,  7.4330344,  0.8449607,NOT_AVAILABLE,      0,true, 46, 49,hd185975_stis_007.fits.csv,OK,  1,   1.00,   0.02,   0.02,   2.04,   2.09,   2.81,   1.40
HD200654,6477295296414847232,  8.8851786,  9.2457256,  8.3321772,  0.9135485,NOT_AVAILABLE,      0,true, 51, 54,hd200654_stis_007.fits.csv,ChP,  0,   1.01,   0.01,   0.01,   2.46,   2.45,   3.12,   1.86
HD205905,6810896745007524736,  6.6017141,  6.9044824,  6.1270404,  0.7774420,NOT_AVAILABLE,      0,true, 50, 46,hd205905_stis_008.fits.csv,OK,  0,   1.01,   0.02,   0.02,   2.19,   2.33,   3.20,   1.45
HD2094586,1779546757669063552,  7.5212455,  7.7932835,  7.0802879,  0.7129955,VARIABLE,      0,true, 21, 19,hd209458_stisnic_008.fits.csv,VAR,  0,   1.01,   0.03,   0.03,   1.65,   1.87,   2.64,   1.02
