SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj,flaggap
HD_195506,2071013511953705344,  6.0955729,  6.6826830,  5.3533897,  1.3292933,NOT_AVAILABLE,      0,True, 35, 34,195506.fits.csv,OK,  1,     1.03,     0.04,     0.04,     4.42,     4.41,     0.74,     0.70 , 0
HD_195633,1748576848010782208,  8.4014101,  8.6754475,  7.9504943,  0.7249532,NOT_AVAILABLE,      0,True, 43, 42,195633.fits.csv,OK,  0,  1791.54,     0.21,     0.19,    91.83,    91.77,     1.41,   121.29 , 1
HD_195725,2243479676058593152,  4.1649013,  4.2684774,  3.9841368,  0.2843406,NOT_AVAILABLE,      1,True, 43, 44,195725.fits.csv,BIN,  0,  1175.20,     0.16,     0.14,    46.37,    46.28,     1.29,    64.34 , 1
HD_195810,1755320049747788160,  4.0156035,  3.9485672,  4.0875344, -0.1389673,NOT_AVAILABLE,      0,True, 32, 31,195810.fits.csv,SAT_VAR,  0,     1.02,     0.04,     0.04,     5.33,     5.32,     1.36,     2.33 , 0
HD_196504,1855937763254222592,  5.5801620,  5.5492797,  5.6079507, -0.0586710,NOT_AVAILABLE,      0,True, 73, 68,196504.fits.csv,OK,  1,     0.97,     0.05,     0.04,     7.18,     5.92,     2.45,     1.47 , 0
HD_196610,1812371096773414144,  3.7925513,  6.2279129,  2.6624928,  3.5654202,VARIABLE,      0,True, 39, 40,196610.fits.csv,SAT_VAR,  0,     0.97,     0.20,     0.20,     5.21,     5.21,     3.37,     3.17 , 0
HD_1967,379224622734044800,  5.5648923,  7.7361689,  3.7089980,  4.0271711,VARIABLE,      0,True, 43, 49,1967.fits.csv,OK,  0,    99.99,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00 , 9
HD_196740,1819379968005589120,  5.0208631,  4.9544668,  5.1344204, -0.1799536,NOT_AVAILABLE,      0,True, 38, 32,196740.fits.csv,OK,  1,     0.95,     0.05,     0.05,     6.31,     4.88,     2.85,     2.01 , 0
HD_196758,4231171058672649856,  4.8659024,  5.3930855,  4.1944108,  1.1986747,NOT_AVAILABLE,      1,True, 42, 39,196758.fits.csv,OK,  0,     0.96,     0.05,     0.04,     6.44,     6.36,     0.72,     0.82 , 0
HD_196777,6861481701590665984,  4.2984753,  5.3985281,  3.2530935,  2.1454346,NOT_AVAILABLE,      0,True, 26, 26,196777.fits.csv,VAR,  0,     0.54,     0.90,     0.17,    29.82,    28.51,    42.03,     1.43 , 1
