counter,NAME,source_id,RA,DEC,flagbest,flagSIMBAD,library,primary,sepa
46,HD030562,3188395880157173120,72.151605,-5.674044,0,OK,UVES+INDO,0,46.616333386370954
48,HD032667,2960561059245715968,75.971966,-24.388147,0,OK,UVES,0,28.041314707760787
49,HD033256,3212075924646082176,77.182078,-4.456208,0,OK,UVES+INDO+MILES,0,46.13038984862268
51,HD034295,2954791234539940864,78.79442,-28.335263,0,OK,UVES,0,23.366511646539625
52,HD035072,4772547941122028672,79.842229,-50.605967,0,OK,UVES,0,10.435757476496692
53,HD036646,3217181124645104384,83.280607,-1.71736,0,BIN,UVES,0,47.32755978549112
55,HD036959,3017187866581306368,83.754196,-6.009269,0,YSO,UVES,0,43.02529876968014
56,HD037055,3215970150016618880,83.899601,-3.252839,0,CRO,UVES,0,45.70328710070554
57,HD037227,4766376347995853056,83.39371,-57.083133,1,OK,UVES,0,11.680067864927961
59,HD037495,2907306935108521088,84.435907,-28.68969,0,OK,UVES,0,20.960311308397074
60,HD037811,2901273846086933888,84.957666,-32.629216,0,OK,UVES,0,17.14582519890325
61,HD038393,2964000159821218432,86.115794,-22.448386,0,SAT,UVES+MILES,0,26.480902700401764
62,HD039060,4792774797545800832,86.821199,-51.066511,0,SAT,UVES,0,6.361058573672924
63,HD040136,2995725777563537792,89.101223,-14.167699,0,SAT,UVES+INDO,0,34.11092704458022
