MILES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioT,chiT,rchi2
168937010969340160,168937010969340160,  9.2784805,  9.5856380,  8.7783766,  0.8072615,NOT_AVAILABLE,      0,True, 67, 66,s0140.csv,PN,  0,   1.03,   0.24,  29.89
162405533940990080,162405533940990080,  5.2940264,  5.4744520,  4.9900799,  0.4843721,NOT_AVAILABLE,      0,True, 37, 35,s0141.csv,VAR,  0,   1.00,   0.04,   1.61
3297303572040367232,3297303572040367232,  8.5796804,  9.3075361,  7.7438879,  1.5636482,NOT_AVAILABLE,      0,True, 33, 33,s0142.csv,ChP,  0,   1.01,   0.03,   3.29
52624073910834176,52624073910834176,  9.0934954,  9.3338442,  8.6768522,  0.6569920,NOT_AVAILABLE,      0,True, 50, 51,s0143.csv,ChP,  0,   1.02,   0.02,   3.25
3202470247468181632,3202470247468181632, 10.4226427, 10.7865047,  9.8812466,  0.9052582,NOT_AVAILABLE,      0,True, 47, 47,s0144.csv,OK,  1,   1.01,   0.03,   2.18
3195919528989223040,3195919528989223040,  4.1798940,  4.6109948,  3.5697494,  1.0412455,NOT_AVAILABLE,      0,True, 34, 35,s0145.csv,VAR,  0,   1.02,   0.04,   2.08
3312281669189449472,3312281669189449472,  9.2946520,  9.7898502,  8.6436682,  1.1461821,NOT_AVAILABLE,      0,True, 36, 34,s0146.csv,VAR,  0,   0.98,   0.06,   1.95
177349168273489536,177349168273489536,  8.1744347,  8.5178156,  7.6539812,  0.8638344,NOT_AVAILABLE,      0,True, 26, 26,s0147.csv,OK,  0,   1.02,   0.03,   1.38
49415527182759296,49415527182759296,  5.4806013,  5.4408331,  5.5323744, -0.0915413,NOT_AVAILABLE,      0,True, 46, 36,s0148.csv,VAR,  0,   0.97,   0.05,   6.44
3312052249215275904,3312052249215275904,  3.4027567,  3.9732533,  2.7682908,  1.2049625,NOT_AVAILABLE,      0,True, 24, 24,s0149.csv,SAT/DMS,  0,   1.00,   0.06,   1.97
3311148828615843328,3311148828615843328,  8.8871727,  9.3112068,  8.2978888,  1.0133181,VARIABLE,      0,True, 25, 25,s0150.csv,OK,  0,   0.99,   0.04,   1.09
3313978112552491136,3313978112552491136,  4.7558556,  4.8421674,  4.6124096,  0.2297578,NOT_AVAILABLE,      0,True, 54, 45,s0151.csv,OK,  1,   1.01,   0.05,   3.60
48026706558487040,48026706558487040,  3.2804532,  3.8989339,  2.6619565,  1.2369773,NOT_AVAILABLE,      0,True, 37, 36,s0152.csv,SAT/DMS,  0,   1.01,   0.09,   2.63
3314213025787054592,3314213025787054592,  8.7407255,  9.1482706,  8.1649151,  0.9833555,NOT_AVAILABLE,      0,True, 43, 43,s0153.csv,VAR,  0,   1.00,   0.04,   1.13
3282511876473223552,3282511876473223552,  7.7240057,  8.1132336,  7.1628580,  0.9503756,NOT_AVAILABLE,      0,True, 68, 65,s0154.csv,OK,  1,   1.01,   0.03,   1.41
3282524177258336512,3282524177258336512,  5.6662173,  5.6923218,  5.5888138,  0.1035080,NOT_AVAILABLE,      0,True, 62, 56,s0155.csv,OK,  1,   1.00,   0.09,   6.73
3185689878960742144,3185689878960742144,  4.7054224,  5.4959521,  3.8390563,  1.6568959,NOT_AVAILABLE,      0,True, 63, 60,s0156.csv,OK,  0,   1.05,   0.06,   2.35
260442796741368448,260442796741368448, 10.1622534, 10.5912380,  9.5592937,  1.0319443,NOT_AVAILABLE,      3,True, 49, 48,s0158.csv,BIN,  0,   0.99,   0.03,   1.88
254738500354838272,254738500354838272, 10.0141706, 10.4326181,  9.4264984,  1.0061197,NOT_AVAILABLE,      0,True, 41, 41,s0159.csv,OK,  1,   0.99,   0.03,   1.35
3179824465465177984,3179824465465177984,  6.1535773,  6.3823910,  5.7584658,  0.6239252,NOT_AVAILABLE,      0,True, 59, 54,s0160.csv,OK,  0,   1.02,   0.04,   3.75
198558953732674816,198558953732674816,  4.3266411,  5.1292500,  3.4619880,  1.6672621,NOT_AVAILABLE,      0,True, 40, 41,s0161.csv,OK,  0,   1.04,   0.05,   1.72
254503754623418240,254503754623418240,  6.8036737,  7.1057816,  6.3278799,  0.7779016,NOT_AVAILABLE,      0,True, 35, 29,s0162.csv,OK,  1,   1.01,   0.03,   1.54
4881345510044485120,4881345510044485120,  8.9904594,  9.2535887,  8.5491400,  0.7044487,NOT_AVAILABLE,      0,True, 57, 56,s0163.csv,OK,  0,   1.02,   0.03,   3.09
3296627028792695168,3296627028792695168,  3.5252299,  5.0386367,  2.5430396,  2.4955971,VARIABLE,      0,True, 40, 40,s0164.csv,SAT/S,  0,   1.00,   0.16,   3.12
198271397081746560,198271397081746560,  4.2805309,  5.0386100,  3.4402301,  1.5983799,NOT_AVAILABLE,      0,True, 40, 38,s0165.csv,OK,  0,   1.02,   0.05,   1.69
3294429586086462848,3294429586086462848,  4.6363325,  4.6684756,  4.5409122,  0.1275635,NOT_AVAILABLE,      0,True, 62, 54,s0166.csv,OK,  0,   0.99,   0.10,   7.84
3231949906557374592,3231949906557374592,  4.0206532,  4.7374630,  3.2221005,  1.5153625,NOT_AVAILABLE,      0,True, 45, 48,s0167.csv,VAR,  0,   1.01,   0.07,   2.21
3211461469444773376,3211461469444773376,  5.8864918,  6.4363804,  5.1868930,  1.2494874,NOT_AVAILABLE,      0,True, 45, 40,s0168.csv,OK,  1,   1.00,   0.04,   1.24
202235823697201664,202235823697201664,  6.0845628,  6.3268881,  5.6720543,  0.6548338,NOT_AVAILABLE,      0,True, 45, 40,s0169.csv,OK,  0,   1.01,   0.06,   4.54
3212075924646082176,3212075924646082176,  4.9814367,  5.2263784,  4.5947251,  0.6316533,NOT_AVAILABLE,      0,True, 63, 58,s0170.csv,OK,  0,   1.02,   0.03,   2.27
3392331785048050176,3392331785048050176,  4.7128143,  4.8935795,  4.4227815,  0.4707980,NOT_AVAILABLE,      0,True, 31, 30,s0171.csv,DMS,  0,   1.00,   0.03,   1.47
3212100972896623104,3212100972896623104,  9.3321981,  9.4033728,  8.4738808,  0.9294920,NOT_AVAILABLE,      0,True, 51, 51,s0172.csv,OK,  0,   1.01,   0.05,   1.54
