SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
270,6462911897617050240, 14.2734442, 14.3406506, 14.1538229,  0.1868277,VARIABLE,      0,True, 41, 40,V.3.4.SPSS270.csv,OK,  0,   1.01,   0.03,   0.03,   1.55,   1.55,   1.95,   1.20
271,1793946026371051648, 14.4849443, 14.4201717, 14.6391001, -0.2189283,VARIABLE,      0,True, 27, 23,V.3.4.SPSS271.csv,OK,  0,   1.00,   0.04,   0.04,   1.35,   1.34,   1.61,   1.13
272,1800298527816525824, 14.6056538, 14.5931969, 14.6021099, -0.0089130,NOT_AVAILABLE,      0,True, 28, 29,V.3.4.SPSS272.csv,OK,  1,   1.00,   0.02,   0.03,   1.44,   1.63,   1.91,   1.41
276,6404417771644764160, 14.4989700, 14.5325375, 14.4260416,  0.1064959,NOT_AVAILABLE,      0,True, 58, 56,V.3.4.SPSS276.csv,OK,  1,   0.99,   0.02,   0.02,   1.57,   1.51,   1.10,   1.76
281,1921351390779081600, 14.8525381, 14.9594269, 14.6474209,  0.3120060,NOT_AVAILABLE,      0,True, 62, 60,V.3.4.SPSS281.csv,OK,  0,   0.98,   0.03,   0.03,   1.79,   2.10,   2.83,   1.37
285,5020119579868434944, 16.7023106, 17.0630550, 16.1775513,  0.8855038,NOT_AVAILABLE,      0,True, 47, 43,V.3.4.SPSS285.csv,OK,  0,   0.94,   0.06,   0.06,   1.49,   1.40,   1.51,   1.30
300,2176116580055936512, 12.3932037, 12.3552694, 12.4958658, -0.1405964,NOT_AVAILABLE,      0,True, 55, 54,V.3.4.SPSS300.csv,OK,  1,   1.00,   0.04,   0.04,   2.30,   2.29,   2.83,   1.82
301,2262849634963004416, 13.2455912, 13.2314234, 13.2542086, -0.0227852,VARIABLE,      0,True, 34, 34,V.3.4.SPSS301.csv,OK,  0,   1.02,   0.03,   0.03,   2.86,   2.76,   2.78,   2.74
304,3406506723313874688, 12.5668364, 12.5292215, 12.6129694, -0.0837479,VARIABLE,      0,True, 40, 39,V.3.4.SPSS304.csv,OK,  0,   1.00,   0.02,   0.02,   1.65,   1.79,   2.26,   1.37
305,2810585920868186240, 13.0401039, 12.8685102, 13.3828888, -0.5143785,NOT_AVAILABLE,      0,True, 25, 23,V.3.4.SPSS305.csv,OK,  1,   1.00,   0.02,   0.02,   0.94,   0.94,   1.20,   0.69
307,5762406957886626816, 13.1697369, 13.0602999, 13.4009991, -0.3406992,NOT_AVAILABLE,      0,True, 49, 49,V.3.4.SPSS307.csv,OK,  1,   0.99,   0.03,   0.04,   2.08,   2.46,   3.14,   1.85
308,3806885288337214848, 13.1676359, 12.9784460, 13.5405788, -0.5621328,VARIABLE,      0,True, 21, 21,V.3.4.SPSS308.csv,OK,  0,   1.00,   0.02,   0.02,   1.10,   1.07,   1.10,   1.05
309,1633585107317144960, 11.7669077, 11.8900509, 11.5464439,  0.3436069,NOT_AVAILABLE,      0,True, 35, 34,V.3.4.SPSS309.csv,OK,  0,   1.01,   0.03,   0.03,   2.20,   2.09,   2.36,   1.88
310,2257815757199848960, 10.6247854, 10.9145279, 10.1787767,  0.7357512,VARIABLE,      0,True,262,263,V.3.4.SPSS310.csv,OK,  0,   1.00,   0.02,   0.02,   2.43,   2.48,   2.42,   2.54
311,2161721571962091136, 10.4559422, 10.6669197, 10.0950785,  0.5718412,NOT_AVAILABLE,      1,True,138,139,V.3.4.SPSS311.csv,OK,  0,   0.96,   0.17,   0.12,  15.11,   9.46,  12.78,   6.14
313,4421525074384092032, 13.8126850, 14.3503466, 13.1192379,  1.2311087,NOT_AVAILABLE,      0,True, 18, 17,V.3.4.SPSS313.csv,OK,  1,   1.00,   0.02,   0.02,   1.15,   1.19,   1.43,   0.99
314,3695913095870312576, 12.3612900, 12.8712034, 11.6961670,  1.1750364,NOT_AVAILABLE,      2,True, 57, 58,V.3.4.SPSS314.csv,BIN,  0,   1.01,   0.02,   0.02,   2.21,   2.07,   2.50,   1.71
315,3683915053189161728, 12.4488411, 12.7253094, 12.0178480,  0.7074614,NOT_AVAILABLE,      0,True, 44, 44,V.3.4.SPSS315.csv,OK,  1,   1.01,   0.02,   0.02,   2.05,   1.88,   2.25,   1.58
320,845789153480087936, 14.9437590, 15.1032352, 14.6633797,  0.4398556,NOT_AVAILABLE,      0,True, 56, 57,V.3.4.SPSS320.csv,OK,  1,   1.00,   0.02,   0.02,   1.39,   1.34,   1.45,   1.27
323,2541942588451597440, 15.0049238, 15.1173506, 14.7992640,  0.3180866,NOT_AVAILABLE,      0,True, 55, 53,V.3.4.SPSS323.csv,OK,  1,   1.01,   0.03,   0.03,   1.64,   1.59,   1.92,   1.31
324,1487827631122772992, 14.9837198, 15.0812120, 14.8066902,  0.2745218,NOT_AVAILABLE,      0,True, 52, 52,V.3.4.SPSS324.csv,BSS,  0,   1.02,   0.04,   0.04,   1.62,   1.73,   2.18,   1.33
326,1564096767011977728, 15.0188961, 15.1709452, 14.7438240,  0.4271212,VARIABLE,      0,True, 50, 47,V.3.4.SPSS326.csv,OK,  0,   1.00,   0.03,   0.03,   1.38,   1.33,   1.65,   1.04
327,2560771312759450496,  9.9073811, 11.1578493,  8.7973976,  2.3604517,NOT_AVAILABLE,      0,True, 27, 28,V.3.4.SPSS327.csv,OK,  0,   1.08,   0.09,   0.07,   7.54,   6.29,   7.86,   4.92
